year,incumbent,state,total,dem,rep
1992,R,OR,1462643,621314,475757
1992,R,PA,4959810,2239164,1791841
1992,R,RI,453477,213299,131601
1992,R,SC,1202527,479514,577507
1992,R,SD,336254,124888,136718
1992,R,TN,1982638,933521,841300
1992,R,TX,6154018,2281815,2496071
1992,R,UT,743998,183429,322632
1992,R,VA,2558665,1038650,1150517
1992,R,VT,289701,133592,88122
1992,R,WA,2287565,993037,731234
1992,R,WI,2531114,1041066,930855
1992,R,WV,683677,331001,241974
1992,R,WY,199884,68160,79347
1996,D,AK,241620,80380,122746
1996,D,AL,1534349,662165,769044
1996,D,AR,884262,475171,325416
1996,D,AZ,1404405,653288,622073
1996,D,CA,10019484,5119835,3828380
1996,D,CO,1510704,671152,691848
1996,D,CT,1392614,735740,483109
1996,D,DC,185726,158220,17339
1996,D,DE,270845,140355,99062
1996,D,FL,5303794,2546870,2244536
1996,D,GA,2299071,1053849,1080843
1996,D,HI,360120,205012,113943
1996,D,IA,1234075,620258,492644
1996,D,ID,491719,165443,256595
1996,D,IL,4311391,2341744,1587021
1996,D,IN,2135842,887424,1006693
1996,D,KS,1074300,387659,583245
1996,D,KY,1388708,636614,623283
1996,D,LA,1783959,927837,712586
1996,D,MA,2556785,1571763,718107
1996,D,MD,1780870,966207,681530
1996,D,ME,605897,312788,186378
1996,D,MI,3848844,1989653,1481212
1996,D,MN,2192640,1120438,766476
1996,D,MO,2158065,1025935,890016
1996,D,MS,893857,394022,439838
1996,D,MT,407261,167922,179652
1996,D,NC,2515807,1107849,1225938
1996,D,ND,266411,106905,125050
1996,D,NE,677415,236761,363467
1996,D,NH,499175,246214,196532
1996,D,NJ,3075807,1652329,1103078
1996,D,NM,556074,273495,232751
1996,D,NV,464279,203974,199244
1996,D,NY,6316129,3756177,1933492
1996,D,OH,4534434,2148222,1859883
1996,D,OK,1206713,488105,582315
1996,D,OR,1377760,649641,538152
1996,D,PA,4506118,2215819,1801169
1996,D,RI,390284,233050,104683
1996,D,SC,1149457,504051,573458
1996,D,SD,323826,139333,150543
1996,D,TN,1894105,909146,863530
1996,D,TX,5611644,2459683,2736167
1996,D,UT,665629,221633,361911
1996,D,VA,2416642,1091060,1138350
1996,D,VT,258449,137894,80352
1996,D,WA,2253837,1123323,840712
1996,D,WI,2196169,1071971,845029
1996,D,WV,636459,327812,233946
1996,D,WY,211571,77934,105388
2000,D,AK,285560,79004,167398
2000,D,AL,1672551,695602,944409
2000,D,AR,921781,422768,472940
2000,D,AZ,1534113,685341,781652
